# 공급사에 보낸 인증·기술자료 요청 메일 전수 판독 대장. 1행 = (모델 표기 × 자료유형) 1건
"# 판독 대상: 공급사·인증기관 수신 발송메일 5,346통에서 추린 요청 후보 325통 (요청 메일 288통 / 요청 항목 549건)"
# 현재보유: 보유=조회엔진이 문서를 찾음 / 미보유=마크 X 또는 모델이 지식베이스 미등재 / 판정불가=모델 미특정·제품군 모호
# 확정여부: 확정 외(추정…)는 모델 해석 또는 인증서 적용범위가 추정이라는 뜻 — 고객 제출 전 적용범위 확인 필요
# 마크: O=완제품 단위 인증서 / 자재=자재별 성적서 묶음 / *=라인 인증서 추론 매핑 / 전사=제조사 단위 인증 / X=없음
# 자료유형 기타(Other-cert): FCC·ETL·IP67/68·원산지증명·공장등록증·LSZH 난연·CCC 등 매핑표 밖 요청. manifest Other-cert 축으로 판정
"# 정렬: 미보유 → 판정불가 → 보유, 그 다음 모델명·자료유형"
모델,제품군,매칭경로,확정여부,자료유형,현재보유,마크,요청횟수,최초요청,최근요청,수신처,대표 메일제목,근거문구
LS-7SSTPD-10M,LS-7SSTPD,suffix,확정,Fluke test,보유,O,1,2021-10-29,2021-10-29,BOR Cable (Mr Gu),fluke test report.,Could you please send the fluke test report? 1. LS-7SSTPD-10M
LS-7SSTPD-10M,LS-7SSTPD,suffix,확정,기타(Other-cert),보유,O,1,2026-02-03,2026-02-03,BOR Cable (Mr Gu),Request for Material Weight and Cost Information – LS-7SSTPD Cables,material details for the following two cables: LS-7SSTPD-1M and LS-7SSTPD-10M ... fill in this information in the attached Excel file
LS-7SSTPD-1M,LS-7SSTPD,suffix,확정,기타(Other-cert),보유,O,1,2026-02-03,2026-02-03,BOR Cable (Mr Gu),Request for Material Weight and Cost Information – LS-7SSTPD Cables,material details for the following two cables: LS-7SSTPD-1M and LS-7SSTPD-10M ... weight of aluminum ... copper ... total product weight
LS-7SSTPD-xM,LS-7SSTPD,suffix,확정,PFAS,보유,자재,3,2024-04-24,2025-10-20,BOR Cable (Mr Gu),Request for Compliance Certificates – LS-7SSTPD-xM Patch Cord,Requested scope of regulations: ... PFAS
LS-7SSTPD-xM,LS-7SSTPD,suffix,확정,REACH,보유,O,3,2025-02-18,2025-10-20,BOR Cable (Mr Gu),Request for Compliance Certificates – LS-7SSTPD-xM Patch Cord,Requested scope of regulations: ... REACH
LS-7SSTPD-xM,LS-7SSTPD,suffix,확정,RoHS,보유,O,3,2025-02-18,2025-10-20,BOR Cable (Mr Gu),Request for Compliance Certificates – LS-7SSTPD-xM Patch Cord,Re-send. Did you check this mail too? ... RoHS 10 substances
LS-7SSTPD-xM,LS-7SSTPD,suffix,확정,기타(Other-cert),보유,O,3,2025-02-18,2025-10-20,BOR Cable (Mr Gu),Request for Compliance Certificates – LS-7SSTPD-xM Patch Cord,Requested scope of regulations: ... POPs
LS-7SSTPD-xMG,LS-7SSTPD,suffix,확정,MSDS/SDS,보유,자재,1,2023-03-06,2023-03-06,BOR Cable (Mr Gu),RE: Re: CMRT for cat.7 patch cords.,2. MSDS (Material Safety Data Sheet)
LS-7SSTPD-xMG,LS-7SSTPD,suffix,확정,RoHS,보유,O,1,2023-03-06,2023-03-06,BOR Cable (Mr Gu),RE: Re: CMRT for cat.7 patch cords.,1. RoHS certificate : Test report of all possible 10 harmful substances
LS-7SSTPD-xMG,LS-7SSTPD,suffix,확정,기타(Other-cert),보유,O,1,2023-03-06,2023-03-06,BOR Cable (Mr Gu),RE: Re: CMRT for cat.7 patch cords.,3. Hazardous Substance Analysis Table
LS-7SSTPD-xxxMG,LS-7SSTPD,prefix,추정(모델매칭),기타(Other-cert),보유,O,1,2025-07-01,2025-07-01,BOR Cable (Mr Gu),RE: Request for Assistance with Customs Form for LS-7SSTPD-10M Cable,Please help us with the following information for each item in the LS-7SSTPD-xxxMG series: 1. Manufacturer Information 2. Country of Origin 3. Material Composition
LS-7UTP-100MG,LS-7UTP,suffix,확정,Data sheet,보유,O,1,2025-04-21,2025-04-21,BOR Cable (Mr Gu),about 7UTP-100MG data sheet,Could you please send data sheet for LS-7UTP-100MG?
LS-7UTP-300MG,LS-7UTP,suffix,확정,Fluke test,보유,O,1,2022-05-17,2022-05-17,BOR Cable (Mr Gu),Fluke and certificate for LS-7UTP-300MG,Could you please send the fluke test report
LS-8SFTP-1M,LS-8SFTP,suffix,확정,Data sheet,보유,O,1,2021-11-02,2021-11-02,BOR Cable (Mr Gu),Cat.8 SFTP / Data sheet and fluke test,We need the data sheet and fluke test report. LS-8SFTP-1M
LS-8SFTP-1M,LS-8SFTP,suffix,확정,Fluke test,보유,O,1,2021-11-02,2021-11-02,BOR Cable (Mr Gu),Cat.8 SFTP / Data sheet and fluke test,We need the data sheet and fluke test report. LS-8SFTP-1M
LS-8SFTP-1m ~20m,LS-8SFTP,prefix,추정(모델매칭),Data sheet,보유,O,1,2021-06-17,2021-06-17,BOR Cable (Mr Gu),RE: Re: Data sheet and spec sheet for new cables.,we need datasheet about Cat.8 SFTP patch cord ... 3. Cat.8 SFTP patch cord cable. LS-8SFTP-1m ~20m please send it
LS-8SSTP-200MG,LS-8SSTP-200MG,exact,확정,Data sheet,보유,O,1,2025-07-17,2025-07-17,BOR Cable (Mr Gu),Request about LS-8SSTP-200MG data sheet,Could you please send data sheet for LS-8SSTP-200MG?
LS-8SSTP-200MG,LS-8SSTP-200MG,exact,확정,RoHS,보유,O,1,2023-07-25,2023-07-25,BOR Cable (Mr Gu),Cat.8 Drum cable,cat.8 drum cable (LS-8SSTP-200MG) ... 2. ROHS.
LS-BOOT-CG7,LS-BOOT-CG7,exact,확정,RoHS,보유,자재,2,2021-06-03,2021-07-13,BOR Cable (Mr Gu),"ROHS about Cat,7 cover-boot",We need ROHS sheet about Cat.7 cover boot. (LS-BOOT-CG7)
LS-BZ-KTWHZ,LS-BZ-KTWHZ,exact,확정,기타(Other-cert),보유,O,1,2022-03-08,2022-03-08,EPN·EP Corp (Roy),Certificate of Origin,Our customer want Certificate of Origin about LS-BZ-KTWHZ.
LS-C5K,LS-C5K,exact,확정,Data sheet,보유,O,1,2024-06-05,2024-06-05,BOR Cable (Mr Gu),data sheet for LS-C5K,"new cat,5e RJ45 (50u) LS-C5K. Could you please send data sheet?"
LS-C5OD300,LS-C5OD300,exact,확정,Data sheet,보유,O,2,2024-01-10,2024-06-20,BOR Cable (Mr Gu),About out door cable,We running outdoor cabsle LS-C5OD300 and LS-C6OD300 ... please send me a data sheet with the relevant information (HDPE).
LS-C5OD300,LS-C5OD300,exact,확정,RoHS,보유,자재,1,2024-02-28,2024-02-28,BOR Cable (Mr Gu),New 305m Cable,"LS-C5U305G LS-C5U305BK LS-C5OD300 ... Can I request another sheet about ROHS, Test report?"
LS-C5OD300,LS-C5OD300,exact,확정,Test report,보유,O,1,2024-02-28,2024-02-28,BOR Cable (Mr Gu),New 305m Cable,"Can I request another sheet about ROHS, Test report?"
LS-C5U305BK,LS-C5U305BK,exact,확정,Data sheet,보유,O,1,2024-01-10,2024-01-10,BOR Cable (Mr Gu),Data sheet for 300m cable,data sheet about below cables? ... LS-C5U305BK
LS-C5U305BK,LS-C5U305BK,exact,확정,RoHS,보유,자재,1,2024-02-28,2024-02-28,BOR Cable (Mr Gu),New 305m Cable,"LS-C5U305G LS-C5U305BK LS-C5OD300 ... Can I request another sheet about ROHS, Test report?"
LS-C5U305BK,LS-C5U305BK,exact,확정,Test report,보유,O,1,2024-02-28,2024-02-28,BOR Cable (Mr Gu),New 305m Cable,"Can I request another sheet about ROHS, Test report?"
LS-C5U305BL,LS-C5U305BL,exact,확정,Data sheet,보유,O,1,2024-01-10,2024-01-10,BOR Cable (Mr Gu),Data sheet for 300m cable,data sheet about below cables? ... LS-C5U305BL
LS-C5U305G,LS-C5U305G,exact,확정,Data sheet,보유,O,3,2024-01-10,2026-04-15,BOR Cable (Mr Gu),"RE: Request for Cable Specifications, Test Reports, Certifications, and Jacket Material Options",confirm whether you can provide: - Updated specification sheet / datasheet
LS-C5U305G,LS-C5U305G,exact,확정,RoHS,보유,자재,1,2024-02-28,2024-02-28,BOR Cable (Mr Gu),New 305m Cable,"LS-C5U305G LS-C5U305BK LS-C5OD300 ... Can I request another sheet about ROHS, Test report?"
LS-C5U305G,LS-C5U305G,exact,확정,Test report,보유,자재,4,2024-02-28,2026-04-15,BOR Cable (Mr Gu),"RE: Request for Cable Specifications, Test Reports, Certifications, and Jacket Material Options",confirm whether you can provide: ... - Test report
LS-C5U305R,LS-C5U305R,exact,확정,Data sheet,보유,O,1,2024-01-10,2024-01-10,BOR Cable (Mr Gu),Data sheet for 300m cable,data sheet about below cables? ... LS-C5U305R
LS-C5U305Y,LS-C5U305Y,exact,확정,Data sheet,보유,O,1,2024-01-10,2024-01-10,BOR Cable (Mr Gu),Data sheet for 300m cable,data sheet about below cables? ... LS-C5U305Y
LS-C6OD300,LS-C6OD300,exact,확정,Data sheet,보유,O,2,2024-01-10,2024-06-20,BOR Cable (Mr Gu),About out door cable,LS-C5OD300 and LS-C6OD300 ... please send me a data sheet with the relevant information (HDPE).
LS-CAT.5E-HUTP-300MG,LS-CAT.5E-HUTP,suffix,확정,Fluke test,보유,O,1,2021-12-08,2021-12-08,BOR Cable (Mr Gu),Fluke about LS-CAT.5E-HUTP-300MG,Our customer want receive the Fluke test report about LS-CAT.5E-HUTP-300MG
LS-CAT5E-STP,LS-CAT5E-STP,exact,확정,RoHS,보유,자재,1,2021-12-14,2021-12-14,BOR Cable (Mr Gu),ROHS or MSDS,We need the ROHS sheet about below product. 1. CAT.5 STP RJ45 connector (LS-CAT5E-STP)
LS-CAT5E-UTP,LS-CAT5E-UTP,exact,확정,RoHS,보유,자재,1,2023-03-03,2023-03-03,BOR Cable (Mr Gu),Rohs about connector,We need ROHS sheet for below products. 1. LS-CAT5E-UTP
LS-CAT6-STP,LS-CAT6-STP,exact,확정,Data sheet,보유,O,1,2025-07-22,2025-07-22,BOR Cable (Mr Gu),"Request for Datasheet, RoHS, MSDS, and SVHC Documents for LS-CAT6-STP",request the following documents for the product LS-CAT6-STP : Product Datasheet
LS-CAT6-STP,LS-CAT6-STP,exact,확정,MSDS/SDS,보유,자재,1,2025-07-22,2025-07-22,BOR Cable (Mr Gu),"Request for Datasheet, RoHS, MSDS, and SVHC Documents for LS-CAT6-STP",MSDS (Material Safety Data Sheet)
LS-CAT6-STP,LS-CAT6-STP,exact,확정,RoHS,보유,자재,1,2025-07-22,2025-07-22,BOR Cable (Mr Gu),"Request for Datasheet, RoHS, MSDS, and SVHC Documents for LS-CAT6-STP",RoHS Certificate
LS-CAT7-750,LS-CAT7-750,exact,확정,Data sheet,보유,O,3,2021-01-11,2023-01-03,BOR Cable (Mr Gu),Cat.7 connector UL sheet.,"And, Please send data sheet too."
LS-CAT7-750,LS-CAT7-750,exact,확정,UL,보유,자재,2,2021-08-20,2023-01-03,BOR Cable (Mr Gu),Cat.7 connector UL sheet.,Do you have a UL certificate for LS-CAT7-750?
LS-CAT7-750G,LS-CAT7-750G,exact,확정,Data sheet,보유,O,2,2021-01-11,2021-10-08,BOR Cable (Mr Gu),RE: Re: data sheet for cat.7 pass connector (new version),Could you please send the datasheet about LS-CAT7-750 and LS-CAT7-750G?
LS-CCTP-xM,LS-CCTP,suffix,확정,Data sheet,보유,O,1,2024-12-17,2024-12-17,BOR Cable (Mr Gu),data sheet for LS-CCTP-xM,Could you please send data sheet for LS-CCTP-xM series?
LS-CON-S15M,LS-CON-S15M,exact,확정,Data sheet,보유,O,2,2025-03-31,2025-04-02,BOR Cable (Mr Gu),data sheet for LS-CON-S15M,re-send. Please check below mail. ... Could you please send data sheet about LS-CON-S15M?
LS-CUP-ID8C,LS-CUP-ID8C,exact,확정,Data sheet,보유,O,1,2025-07-04,2025-07-04,BOR Cable (Mr Gu),Data sheet for LS-CUP-ID8C,Could you please send data sheet about LS-CUP-ID8C?
LS-CUP-ID8C,LS-CUP-ID8C,exact,확정,RoHS,보유,자재,2,2020-07-14,2021-10-06,BOR Cable (Mr Gu),"ROHS, MSDS about coupler","We need RoHS or MSDS sheet for Coupler ( LS-CUP-ID8C , LS-CUP-YD8C)"
LS-CUP-YD8C,LS-CUP-YD8C,exact,확정,RoHS,보유,자재,2,2020-07-14,2021-10-06,BOR Cable (Mr Gu),"ROHS, MSDS about coupler","We need RoHS or MSDS sheet for Coupler ( LS-CUP-ID8C , LS-CUP-YD8C)"
LS-DC-RJ45-BKC,LS-DC-RJ45-BKC,exact,확정,MSDS/SDS,보유,자재,1,2021-06-15,2021-06-15,BOR Cable (Mr Gu),"RoHS , MSDS",We need the RoHS and MSDS sheet for RJ45 dust cover. (LS-DC-RJ45-BKC)
LS-DC-RJ45-BKC,LS-DC-RJ45-BKC,exact,확정,RoHS,보유,자재,1,2021-06-15,2021-06-15,BOR Cable (Mr Gu),"RoHS , MSDS",We need the RoHS and MSDS sheet for RJ45 dust cover. (LS-DC-RJ45-BKC)
LS-DC-RJ45PP-WHC,LS-DC-RJ45PP-WHC,exact,확정,RoHS,보유,자재,1,2021-09-30,2021-09-30,BOR Cable (Mr Gu),RE: Re: Dust cap,could you please send the data sheet and ROHS2.0 sheet? (LS-DC-RJ45PP-WHC / LS-DC-USBPE-WHC)
LS-DC-USBPE-WHC,LS-DC-USBPE-WHC,exact,추정(인증서 적용범위),RoHS,보유,자재*,2,2020-12-04,2021-09-30,BOR Cable (Mr Gu),RE: Re: Dust cap,could you please send the data sheet and ROHS2.0 sheet? (LS-DC-RJ45PP-WHC / LS-DC-USBPE-WHC)
LS-DP12HD,LS-DP12HD,exact,확정,Data sheet,보유,O,1,2021-12-15,2021-12-15,BOR Cable (Mr Gu),"Data sheet about LS-DP12HD, MDP12HD",We need the DataSheet about below products. 1. LS-DP12HD
LS-DP12HD,LS-DP12HD,exact,확정,RoHS,보유,O,1,2022-05-18,2022-05-18,BOR Cable (Mr Gu),"RE: Re: Data sheet about LS-DP12HD, MDP12HD",Could you please send the ROHS2.0 sheet? LS-DP12HD
LS-DP14N,LS-DP14N,exact,확정,RoHS,보유,O,1,2025-09-11,2025-09-11,BOR Cable (Mr Gu),ROHS for LS-DP14N,Could you please send the ROHS sheet for LS-DP14N?
LS-DP14N-xm,LS-DP14N,suffix,확정,Data sheet,보유,O,1,2021-01-19,2021-01-19,BOR Cable (Mr Gu),"data sheet about Slim HDMI , DP14 , HDMI to DP",we need data sheet about new cable. 2. LS-DP14N-xm
LS-DP192-60H-xM,LS-DP192-60H,suffix,확정,Data sheet,보유,O,1,2026-03-05,2026-03-05,BOR Cable (Mr Gu),Request for Updated Datasheets with Pin Map,send the latest datasheet including the pin map for this model as well
LS-DP192-xM,LS-DP192,suffix,확정,CE,보유,O,1,2022-11-29,2022-11-29,BOR Cable (Mr Gu),RE: Re: CE certificate about Screw cable,We need CE sheet below cables. 2. LS-DP192-xM
LS-DPAOC-xM,LS-DPAOC,suffix,확정,Data sheet,보유,O,1,2022-06-07,2022-06-07,BOR Cable (Mr Gu),Data sheet about NEW AOC cables,send the Data sheet about New AOC cables? ... 2. LS-DPAOC-xM
LS-DVI19M-xm,LS-DVI19M,suffix,확정,Data sheet,보유,O,1,2021-01-11,2021-01-11,EPNU Cable (Anna),data sheet.,we need new datasheet ... 3. LS-DVI19M-xm
LS-DVI25M-xm,LS-DVI25M,suffix,확정,Data sheet,보유,O,1,2021-01-11,2021-01-11,EPNU Cable (Anna),data sheet.,we need new datasheet ... 4. LS-DVI25M-xm
LS-EIC-FJM,LS-EIC-FJM,exact,확정,Data sheet,보유,O,1,2023-02-23,2023-02-23,EPN·EP Corp (Roy),Data sheet,Could you please send data sheet about below products? 2. LS-EIC-FJM
LS-EIC-UJW,LS-EIC-UJW,exact,확정,Data sheet,보유,O,1,2023-02-23,2023-02-23,EPN·EP Corp (Roy),Data sheet,Could you please send data sheet about below products? 1. LS-EIC-UJW
LS-EIC-UKW,LS-EIC-UK,prefix,추정(모델매칭),Data sheet,보유,O,1,2026-03-18,2026-03-18,Livewire Asia-Pacific (Ian),Request for Specification Sheet and Drawing Sheet for LS-EIC-UKW,provide the specification sheet and drawing sheet for the LS-EIC-UKW
LS-EPLB-24P19N,LS-EPLB-24P19N,exact,확정,CE,보유,O,1,2022-03-16,2022-03-16,BOR Cable (Mr Gu),Certificate for LS-EPLB-24P19N,Could you please send the UL or CE certificate for LS-EPLB-24P19N
LS-EPLB-24P19N,LS-EPLB-24P19N,exact,확정,Data sheet,보유,O,2,2021-10-27,2023-05-30,BOR Cable (Mr Gu),Data sheet and CAD sheet for patch pannel,We need Data sheet and CAD sheet (3D drawing file/DWG). 1. LS-EPLB-24P19N
LS-EPLB-24P19N,LS-EPLB-24P19N,exact,확정,UL,보유,전사,2,2021-08-13,2022-03-16,BOR Cable (Mr Gu),Certificate for LS-EPLB-24P19N,Could you please send the UL or CE certificate for LS-EPLB-24P19N
LS-EPLB-48P19,LS-EPLB-48P19,exact,확정,Data sheet,보유,O,1,2021-10-27,2021-10-27,BOR Cable (Mr Gu),Data Sheet for Patch Pannel,2. LS-EPLB-48P19
LS-EPLB-48P19,LS-EPLB-48P19,exact,확정,Test report,보유,O,1,2023-06-20,2023-06-20,BOR Cable (Mr Gu),Patch panel test report,Our customer want receive test report about below products. LS-EPLB-48P19
LS-ETMD-UJWT,LS-ETMD-UJWT,exact,확정,Data sheet,보유,O,1,2023-04-24,2023-04-24,EPN·EP Corp (Roy),Data sheet or Drawing file about LS-ETMD-UJWT,We need data sheet or drawing file about LS-ETMD-UJWT.
LS-EXT305 ~ LS-EXT320,LS-EXT305,prefix,추정(모델매칭),Data sheet,보유,O,1,2023-05-10,2023-05-10,BOR Cable (Mr Gu),RE: Re: USB 3.0 repeater cable,could you please send data sheet? LS-EXT305 ~ LS-EXT320
LS-EXT310,LS-EXT310,exact,확정,CE,보유,O,1,2023-01-03,2023-01-03,BOR Cable (Mr Gu),CE certificate,Our customer request CE certificate for LS-EXT310 (USB extension cable)
LS-EZ-750,LS-EZ-750,exact,확정,Data sheet,보유,O,1,2021-01-08,2021-01-08,BOR Cable (Mr Gu),data sheet for cat.7 pass connector (new version),please send the data sheet about cat.7 pass connector (new version) / LS-EZ-750
LS-F6-UTPD-1M,LS-F6-UTPD,suffix,확정,Data sheet,보유,O,1,2020-09-22,2020-09-22,BOR Cable (Mr Gu),ROHS and Data Sheet,We need the ROHS and Datasheet. 1. LS-F6-UTPD-1M
LS-F6-UTPD-1M,LS-F6-UTPD,suffix,확정,RoHS,보유,O,1,2020-09-22,2020-09-22,BOR Cable (Mr Gu),ROHS and Data Sheet,We need the ROHS and Datasheet. 1. LS-F6-UTPD-1M
LS-F6-UTPD-Xm,LS-F6-UTPD,suffix,확정,Data sheet,보유,O,1,2021-01-27,2021-01-27,BOR Cable (Mr Gu),data sheet about cat.6 UTP flat cable.,We need data sheet about cat.6 UTP flat cable. (LS-F6-UTPD-Xm) please send it
LS-F6-UTPD-xM,LS-F6-UTPD,suffix,확정,MSDS/SDS,보유,자재,2,2022-04-28,2022-04-28,BOR Cable (Mr Gu),RE: Re: MSDS sheet,We need MSDS sheet for LS-F6-UTPD-xM. Not HDMI cable
LS-F6UTPD-xm,LS-F6UTPD,suffix,확정,MSDS/SDS,보유,자재,1,2024-07-17,2024-07-17,BOR Cable (Mr Gu),ROHS / MSDS sheet for Flat cable,"If not, Please send ROHS / MSDS sheet."
LS-F6UTPD-xm,LS-F6UTPD,suffix,확정,RoHS,보유,O,1,2024-07-17,2024-07-17,BOR Cable (Mr Gu),ROHS / MSDS sheet for Flat cable,"Can we use this file for LS-F6UTPD-xm series? If not, Please send ROHS / MSDS sheet."
LS-F7-SFTP-Xm,LS-F7-SFTP,suffix,확정,RoHS,보유,O,1,2021-03-12,2021-03-12,BOR Cable (Mr Gu),ROHS sheet about cat.7 SFTP flat cable.,could you please send the ROHS sheet about LS-F7-SFTP-Xm
LS-F7-UTPD-xM,LS-F7-UTPD,suffix,확정,Data sheet,보유,O,1,2021-05-25,2021-05-25,BOR Cable (Mr Gu),data sheet,"We need data sheet about LS-F7-UTPD-xM (cat.7 UTP , Flate cable.)"
LS-F7FTP-xM,LS-F7FTP,suffix,확정,Data sheet,보유,O,1,2022-04-20,2022-04-20,BOR Cable (Mr Gu),Data sheet,"Could you please send the data sheet? ""LS-F7FTP-xM"""
LS-F7FTP-xM,LS-F7FTP,suffix,확정,Fluke test,보유,O,1,2022-05-06,2022-05-06,BOR Cable (Mr Gu),LS-F7FTP-xm - Fluke test,"We received LS-F7FTP-xM ... If you have Fluke test report, Please send it"
LS-F850N,LS-F850N,exact,확정,Data sheet,보유,O,3,2020-07-16,2024-07-05,BOR Cable (Mr Gu),New order,Could you please send data sheet for LS-M850N and LS-F850N?
LS-F850N,LS-F850N,exact,확정,Fluke test,보유,O,1,2021-06-15,2021-06-15,BOR Cable (Mr Gu),Cat.8 Keystone jack,We need the fluke or any test report about cat.8 keystone jack(LS-F850N)
LS-F850N,LS-F850N,exact,확정,Test report,보유,O,1,2021-06-15,2021-06-15,BOR Cable (Mr Gu),Cat.8 Keystone jack,We need the fluke or any test report about cat.8 keystone jack(LS-F850N)
LS-FSB,LS-FSB,exact,확정,Data sheet,보유,O,1,2021-10-05,2021-10-05,BOR Cable (Mr Gu),Data sheet for front shelf,front shelf for hub rack (LS-FSB and LS-FSI) Could you please send the data sheet?
LS-FSI,LS-FSI,exact,확정,Data sheet,보유,O,1,2021-10-05,2021-10-05,BOR Cable (Mr Gu),Data sheet for front shelf,front shelf for hub rack (LS-FSB and LS-FSI) Could you please send the data sheet?
LS-FT6U0,LS-FT6U,prefix,추정(모델매칭),Fluke test,보유,O,1,2024-12-03,2024-12-03,BOR Cable (Mr Gu),data sheet and fluke test for transparent cable,we need data sheet and fluke test report about LS-FT6U0 series
LS-FTP-100MSTG,LS-FTP,suffix,확정,Data sheet,보유,O,1,2024-11-15,2024-11-15,BOR Cable (Mr Gu),data sheet for stranded cable,Could you please send new data sheet about below cables? ... LS-FTP-100MSTG
LS-FTP-300MSTG,LS-FTP,suffix,확정,CE,보유,O,1,2022-03-14,2022-03-14,BOR Cable (Mr Gu),LS-FTP-300MSTG sheet,We need test report or any certificate. (CE)
LS-FTP-300MSTG,LS-FTP,suffix,확정,Test report,보유,O,1,2022-03-14,2022-03-14,BOR Cable (Mr Gu),LS-FTP-300MSTG sheet,Our customer request about LS-FTP-300MSTG ... We need test report or any certificate. (CE)
LS-FTP-305MSTG,LS-FTP,suffix,확정,Data sheet,보유,O,1,2024-11-15,2024-11-15,BOR Cable (Mr Gu),data sheet for stranded cable,Could you please send new data sheet about below cables? LS-FTP-305MSTG
LS-GEN-DB9FF,LS-GEN-DB9FF,exact,확정,Data sheet,보유,O,1,2021-11-03,2021-11-03,BOR Cable (Mr Gu),data sheet about serial gender,We need data sheet about serial gender ( LS-GEN-DB9FF)
LS-GIC-FJM,LS-GIC-FJM,exact,확정,Data sheet,보유,O,1,2023-02-23,2023-02-23,EPN·EP Corp (Roy),Data sheet,Could you please send data sheet about below products? 4. LS-GIC-FJM
LS-GIC-FKTMT,LS-GIC-FKTMT,exact,확정,Data sheet,보유,O,1,2024-03-27,2024-03-27,EPN·EP Corp (Roy),Data sheet (Drawing sheet),Could you please send Data sheet for LS-GIC-FKTMT?
LS-GIC-FKTMT,LS-GIC-FKTMT,exact,확정,RoHS,보유,O,2,2021-03-24,2021-12-29,EPN·EP Corp (Roy),ROHS about GIC-FKTMT,We need ROHS sheet about LS-GIC-FKTMT.
LS-GIC-FKTMT,LS-GIC-FKTMT,exact,확정,Test report,보유,O,1,2022-06-13,2022-06-13,EPN·EP Corp (Roy),LS-GIC-FKTMT,Could you please send the UL sheet or any test report for LS-GIC-FKTMT?
LS-GIC-UEDWH,LS-GIC-UEDWH,exact,확정,Data sheet,보유,O,1,2021-05-10,2021-05-10,EPN·EP Corp (Roy),RE: RE: RE: RE: RE: new order,"could you please send the data sheet new products? (LS-GIC-UEDWH , LS-GKTVM-U1WH , LS-GKTVNL-U1WH , LS-GKTVNL-F1MT)"
LS-GIC-UJW,LS-GIC-UJW,exact,확정,Data sheet,보유,O,1,2023-02-23,2023-02-23,EPN·EP Corp (Roy),Data sheet,Could you please send data sheet about below products? 3. LS-GIC-UJW
LS-GIC-UJW,LS-GIC-UJW,exact,확정,RoHS,보유,O,1,2023-05-18,2023-05-18,EPN·EP Corp (Roy),RE: RE: RE: RE: Data sheet,and ROHS sheet?
LS-GKTVM-F1MT,LS-GKTVM-F1MT,exact,확정,UL,보유,전사,1,2022-12-14,2022-12-14,EPN·EP Corp (Roy),UL certificate,We need UL certificate for LS-GKTVM-F1MT
LS-GKTVM-U1WH,LS-GKTVM-U1WH,exact,확정,Data sheet,보유,자재,1,2021-05-10,2021-05-10,EPN·EP Corp (Roy),RE: RE: RE: RE: RE: new order,"could you please send the data sheet new products? (LS-GIC-UEDWH , LS-GKTVM-U1WH , LS-GKTVNL-U1WH , LS-GKTVNL-F1MT)"
LS-GKTVNL-F1MT,LS-GKTVNL-F1MT,exact,확정,Data sheet,보유,O,1,2021-05-10,2021-05-10,EPN·EP Corp (Roy),RE: RE: RE: RE: RE: new order,"could you please send the data sheet new products? (LS-GIC-UEDWH , LS-GKTVM-U1WH , LS-GKTVNL-U1WH , LS-GKTVNL-F1MT)"
LS-GKTVNL-U1WH,LS-GKTVNL-U1WH,exact,확정,Data sheet,보유,O,1,2021-05-10,2021-05-10,EPN·EP Corp (Roy),RE: RE: RE: RE: RE: new order,"could you please send the data sheet new products? (LS-GIC-UEDWH , LS-GKTVM-U1WH , LS-GKTVNL-U1WH , LS-GKTVNL-F1MT)"
LS-GLAN30R,LS-GLAN30R,exact,확정,CE,보유,O,1,2023-11-02,2023-11-02,BOR Cable (Mr Gu),"ROHS, CE for USB lan card.",we need ROHS and CE sheet for LS-GLAN30R.
LS-GLAN30R,LS-GLAN30R,exact,확정,RoHS,보유,O,1,2023-11-02,2023-11-02,BOR Cable (Mr Gu),"ROHS, CE for USB lan card.",we need ROHS and CE sheet for LS-GLAN30R.
LS-GPLB-F24X,LS-GPLB-F24X,exact,확정,Test report,보유,O,1,2021-09-14,2021-09-14,EPN·EP Corp (Roy),Data sheet and test report about LS-GPLB-F24X,We need Data sheet and Test report((ETL or UL) about LS-GPLB-F24X
LS-H21AOC,LS-H21AOC,exact,확정,Data sheet,보유,O,1,2025-06-05,2025-06-05,BOR Cable (Mr Gu),data sheet for LS-H21AOC / LS-HAP21AOC .,Could you please send Data sheet about below cables? 1. LS-H21AOC
LS-HAP21AOC,LS-HAP21AOC,exact,확정,Data sheet,보유,O,1,2025-06-05,2025-06-05,BOR Cable (Mr Gu),data sheet for LS-H21AOC / LS-HAP21AOC .,Could you please send Data sheet about below cables? ... 2. LS-HAP21AOC
LS-HAP21AOC-xM,LS-HAP21AOC,suffix,확정,Test report,보유,O,1,2025-09-18,2025-09-18,BOR Cable (Mr Gu),Inquiry on LS-HAP21AOC-xM Series HDMI 2.1 AOC Conduit-Type Detachable Cable,Do you have any reliability data (HDMI Eye Diagram) available for 100m length signal quality?
LS-HAP21AOC-xxM,LS-HAP21AOC,suffix,확정,Data sheet,보유,O,1,2026-02-27,2026-02-27,BOR Cable (Mr Gu),Inquiry About IC Chipset for LS-H20AOCxx and LS-HAP21AOC-xxM,kindly provide the chipset name and specifications for each model
LS-HDAOC-xM,LS-HDAOC,suffix,확정,Data sheet,보유,O,1,2022-06-07,2022-06-07,BOR Cable (Mr Gu),Data sheet about NEW AOC cables,send the Data sheet about New AOC cables? 1. LS-HDAOC-xM
